reporting_jurisdiction, sample_location, key_plot_id, town_name, county_names, population_served, date_start, date_end, rna_pct_change_15d, pos_PCR_prop_15d, percentile, sampling_prior, first_sample_date
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,6/21/2020,7/5/2020,0,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,6/22/2020,7/6/2020,0,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,6/23/2020,7/7/2020,0,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,6/24/2020,7/8/2020,0,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,6/25/2020,7/9/2020,0,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,6/26/2020,7/10/2020,0,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,6/27/2020,7/11/2020,0,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,6/28/2020,7/12/2020,3683,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,6/29/2020,7/13/2020,3683,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,6/30/2020,7/14/2020,3683,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,7/1/2020,7/15/2020,3683,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,7/2/2020,7/16/2020,3683,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,7/3/2020,7/17/2020,3683,100,NA,yes,7/5/2020
Missouri,Treatment plant,NWSS_mo_259_Treatment plant_raw wastewater,Barry,Lawrence,9100,7/4/2020,7/18/2020,3683,100,NA,yes,7/5/2020
